zone	rule	period	n_hours	mae_mw	median_ae_mw
SI	anad2	all	18000	99.3016879572586	80.19232812500003
SI	anad2	evening	3000	80.69913630208333	66.59437500000006
SI	anad2	jul26	504	91.98528411104024	79.62690624999995
SI	anad2	jul26_evening	84	67.8917816220238	64.42732812500003
SI	anad2w	all	18000	103.23554458796296	84.57579687500004
SI	anad2w	evening	3000	83.961527125	68.89234374999995
SI	anad2w	jul26	504	96.39884715136054	81.37517187500004
SI	anad2w	jul26_evening	84	76.41716555059524	71.44301562500006
SI	ana16wb	all	18000	123.79892334713955	101.91576562499998
SI	ana16wb	evening	3000	102.23398369791667	80.55945312499999
SI	ana16wb	jul26	504	139.08462342332766	131.79045312499997
SI	ana16wb	jul26_evening	84	119.29117447916666	109.08025000000005
SI	v3	all	18000	120.5079125775463	97.26660937499996
SI	v3	evening	3000	99.7475913125	79.48228125000006
SI	v3	jul26	504	130.5706579772534	123.58081249999998
SI	v3	jul26_evening	84	103.91520721726192	96.440609375
SK	v2	all	18024	178.66199271838937	150.77406250000007
SK	v2	evening	3004	169.5142955933755	142.03487499999997
SK	v2	jul26	504	170.66172991071429	142.14731250000003
SK	v2	jul26_evening	84	165.3804427083333	135.03599999999997
SK	rec3	all	18024	185.91985398010988	155.0396249999999
SK	rec3	evening	3004	173.87602177929426	145.8303125
SK	rec3	jul26	504	188.47440749007936	150.2063125
SK	rec3	jul26_evening	84	186.1685922619048	136.33468750000003
SK	d2	all	18024	154.31372590989793	126.143125
SK	d2	evening	3004	140.9061422270306	116.48043749999985
SK	d2	jul26	504	161.30608482142858	125.48262499999997
SK	d2	jul26_evening	84	133.69792708333333	119.60681249999993
SK	ana8	all	18024	175.19517216939914	146.8803125000001
SK	ana8	evening	3004	163.10544516894143	139.443625
SK	ana8	jul26	504	186.62373040674603	153.04209375000002
SK	ana8	jul26_evening	84	200.21079017857144	155.98912499999994
SK	ana8b	all	18024	163.51636337435502	138.35146875000012
SK	ana8b	evening	3004	153.89524392060585	129.90362500000003
SK	ana8b	jul26	504	167.65297643849206	134.28993749999995
SK	ana8b	jul26_evening	84	163.9169330357143	131.32278124999996
SK	ana16	all	18024	169.6940951602724	141.0946875
SK	ana16	evening	3004	155.96244942576564	132.8027499999999
SK	ana16	jul26	504	183.64921800595235	155.27643750000016
SK	ana16	jul26_evening	84	190.43696502976195	133.77131249999994
SK	ana16b	all	18024	162.87878666205475	139.24843749999994
SK	ana16b	evening	3004	154.4968035390313	133.63799999999998
SK	ana16b	jul26	504	168.610615265377	141.5046875
SK	ana16b	jul26_evening	84	165.22091703869043	135.78306249999997
SK	ana8w	all	18024	176.57709180329007	148.29509374999995
SK	ana8w	evening	3004	165.6857746671105	139.46474999999998
SK	ana8w	jul26	504	187.6899060019841	151.16365624999997
SK	ana8w	jul26_evening	84	182.53275223214283	155.48540624999987
